Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
eng Arsenal,24,25.8,50.9,14,154,1260,14.0,30,18,48,28,2,5,27,0,27.0,23.0,18.1,41.1,255,535,2.14,1.29,3.43,2.0,3.29,1.93,1.29,3.22,1.65,2.94
eng Aston Villa,25,27.1,47.3,12,132,1080,12.0,22,18,40,21,1,2,19,0,18.8,17.2,14.9,32.1,173,397,1.83,1.5,3.33,1.75,3.25,1.57,1.24,2.81,1.44,2.68
it Atalanta,24,27.7,53.3,10,110,900,10.0,22,19,41,21,1,3,19,1,24.5,22.0,18.9,40.9,278,517,2.2,1.9,4.1,2.1,4.0,2.45,1.89,4.34,2.2,4.09
es Atlético Madrid,23,28.5,47.4,10,110,930,10.3,22,17,39,22,0,0,18,1,14.5,14.5,12.1,26.7,210,419,2.13,1.65,3.77,2.13,3.77,1.41,1.17,2.58,1.41,2.58
es Barcelona,27,25.1,61.3,14,154,1290,14.3,40,30,70,37,3,3,14,2,32.2,29.9,23.9,53.8,290,744,2.79,2.09,4.88,2.58,4.67,2.25,1.67,3.92,2.08,3.75
de Bayern Munich,27,27.7,64.7,14,154,1260,14.0,31,16,47,26,5,5,22,0,33.6,30.0,21.6,51.6,376,892,2.21,1.14,3.36,1.86,3.0,2.4,1.54,3.94,2.14,3.69
pt Benfica,23,25.8,44.7,12,132,1080,12.0,20,9,29,16,4,4,28,1,23.6,20.5,13.7,34.2,207,390,1.67,0.75,2.42,1.33,2.08,1.97,1.14,3.11,1.71,2.85
it Bologna,24,26.0,49.3,8,88,720,8.0,4,3,7,4,0,0,28,0,8.1,8.1,5.8,13.9,131,269,0.5,0.37,0.87,0.5,0.87,1.01,0.73,1.74,1.01,1.74
fr Brest,23,28.0,41.8,10,110,900,10.0,9,3,12,9,0,0,20,0,11.4,11.4,8.3,19.7,135,270,0.9,0.3,1.2,0.9,1.2,1.14,0.83,1.97,1.14,1.97
sct Celtic,24,27.1,50.9,10,110,900,10.0,14,10,24,13,1,2,10,1,14.5,13.0,10.1,23.1,147,337,1.4,1.0,2.4,1.3,2.3,1.45,1.01,2.46,1.3,2.31
be Club Brugge,21,25.5,43.8,12,132,1080,12.0,11,7,18,9,2,2,19,2,11.5,9.9,7.9,17.8,143,351,0.92,0.58,1.5,0.75,1.33,0.96,0.66,1.62,0.83,1.49
hr Dinamo Zagreb,25,27.3,37.9,8,88,720,8.0,12,10,22,12,0,0,19,0,7.0,7.0,5.2,12.2,120,186,1.5,1.25,2.75,1.5,2.75,0.88,0.65,1.53,0.88,1.53
de Dortmund,25,26.5,52.0,14,154,1260,14.0,31,18,49,24,7,8,24,0,27.8,21.4,18.0,39.5,259,560,2.21,1.29,3.5,1.71,3.0,1.98,1.29,3.27,1.53,2.82
nl Feyenoord,29,24.8,42.5,12,132,1080,12.0,19,12,31,17,2,3,18,2,13.3,10.9,8.4,19.3,184,377,1.58,1.0,2.58,1.42,2.42,1.11,0.7,1.81,0.91,1.61
es Girona,26,27.4,50.9,8,88,720,8.0,5,3,8,5,0,2,25,1,9.6,8.0,6.9,14.9,133,284,0.62,0.37,1.0,0.62,1.0,1.19,0.86,2.06,0.99,1.86
it Inter,25,29.5,47.0,15,165,1380,15.3,25,17,42,20,5,7,33,0,24.3,18.8,15.3,34.1,227,488,1.63,1.11,2.74,1.3,2.41,1.59,1.0,2.58,1.23,2.22
it Juventus,26,24.8,51.1,10,110,930,10.3,12,8,20,11,1,1,15,2,11.8,11.0,8.1,19.1,217,401,1.16,0.77,1.94,1.06,1.84,1.14,0.79,1.93,1.06,1.85
de Leverkusen,25,26.5,56.3,10,110,900,10.0,14,9,23,13,1,1,23,2,15.1,14.5,11.0,25.5,186,430,1.4,0.9,2.3,1.3,2.2,1.51,1.1,2.61,1.45,2.55
fr Lille,25,25.4,48.4,10,110,900,10.0,17,12,29,15,2,2,23,2,11.5,10.0,7.1,17.1,164,346,1.7,1.2,2.9,1.5,2.7,1.15,0.71,1.87,1.0,1.71
eng Liverpool,27,26.8,51.0,10,110,930,10.3,18,13,31,16,2,3,19,1,20.7,18.3,14.8,33.1,197,469,1.74,1.26,3.0,1.55,2.81,2.0,1.43,3.43,1.77,3.2
eng Manchester City,26,26.7,63.4,10,110,900,10.0,20,11,31,17,3,4,11,0,21.0,18.0,13.5,31.5,315,608,2.0,1.1,3.1,1.7,2.8,2.1,1.35,3.45,1.8,3.15
it Milan,26,26.1,53.0,10,110,900,10.0,15,11,26,15,0,0,28,2,13.8,13.8,10.8,24.6,244,472,1.5,1.1,2.6,1.5,2.6,1.38,1.08,2.46,1.38,2.46
fr Monaco,25,24.7,51.1,10,110,900,10.0,16,11,27,15,1,1,23,3,13.3,12.6,9.7,22.3,170,360,1.6,1.1,2.7,1.5,2.6,1.33,0.97,2.29,1.26,2.23
fr Paris S-G,22,24.2,61.4,17,187,1560,17.3,37,29,66,36,1,2,19,1,35.6,34.1,27.3,61.4,492,865,2.13,1.67,3.81,2.08,3.75,2.05,1.57,3.63,1.97,3.54
nl PSV Eindhoven,28,25.9,54.8,12,132,1110,12.3,22,14,36,21,1,1,24,1,19.3,18.5,13.8,32.3,225,571,1.78,1.14,2.92,1.7,2.84,1.56,1.12,2.68,1.5,2.62
de RB Leipzig,23,25.3,47.5,8,88,720,8.0,8,4,12,7,1,1,15,0,12.3,11.6,8.6,20.2,96,247,1.0,0.5,1.5,0.87,1.37,1.53,1.08,2.61,1.45,2.52
at RB Salzburg,24,22.5,45.1,8,88,720,8.0,5,5,10,5,0,1,16,1,6.6,5.9,4.3,10.2,176,283,0.62,0.62,1.25,0.62,1.25,0.83,0.54,1.37,0.73,1.27
es Real Madrid,23,26.8,53.1,14,154,1290,14.3,29,20,49,28,1,3,34,1,28.0,25.6,20.0,45.6,317,600,2.02,1.4,3.42,1.95,3.35,1.95,1.39,3.35,1.79,3.18
rs Red Star,24,26.5,44.6,8,88,720,8.0,13,10,23,12,1,1,13,0,9.3,8.5,6.9,15.4,144,283,1.62,1.25,2.87,1.5,2.75,1.17,0.86,2.03,1.07,1.93
ua Shakhtar,21,24.2,44.9,8,88,720,8.0,8,5,13,7,1,2,13,1,8.3,6.7,5.2,12.0,103,195,1.0,0.62,1.62,0.87,1.5,1.04,0.66,1.69,0.84,1.49
sk Slovan Bratislava,23,28.5,37.5,8,88,720,8.0,7,5,12,6,1,1,17,1,7.0,6.2,4.6,10.8,95,197,0.87,0.62,1.5,0.75,1.37,0.87,0.58,1.44,0.77,1.35
cz Sparta Prague,26,26.2,33.9,8,88,720,8.0,6,3,9,6,0,0,13,0,6.3,6.3,4.3,10.6,81,184,0.75,0.37,1.13,0.75,1.13,0.78,0.54,1.33,0.78,1.33
pt Sporting CP,27,23.8,49.1,10,110,900,10.0,13,9,22,11,2,2,17,0,12.8,11.3,9.0,20.3,183,340,1.3,0.9,2.2,1.1,2.0,1.28,0.9,2.18,1.13,2.03
at Sturm Graz,23,23.5,37.5,8,88,720,8.0,4,2,6,4,0,0,17,1,6.2,6.2,4.9,11.1,74,186,0.5,0.25,0.75,0.5,0.75,0.78,0.61,1.39,0.78,1.39
de Stuttgart,23,25.2,58.9,8,88,720,8.0,12,11,23,12,0,1,13,0,14.1,13.3,11.0,24.4,141,396,1.5,1.37,2.87,1.5,2.87,1.76,1.38,3.14,1.67,3.04
ch Young Boys,24,24.8,41.8,8,88,720,8.0,3,3,6,3,0,0,24,0,5.6,5.6,4.1,9.7,111,221,0.37,0.37,0.75,0.37,0.75,0.7,0.51,1.21,0.7,1.21
